titleStmt
versionNumber
orgName
time
title
monogr
xenoData
biblScope
catRef
settingDesc
creation
name
bibl
isFinished
profileDesc
isEdited
sourceDesc
dop
publisher
encodingDesc
cyclusName/
orthographyType/
fileDesc
classDecl
author
preparedness
biblStruct
fullBibliographicDescription
imprint
ref
cyclusName
resp
availability
rs
teiHeader
orthographyType
series
p
versionNumber/
xi:include
analytic
publicationStmt
textClass
respStmt
TEI
pubPlace
date
